quiz.properties	name=Toefl, Set 1<br />q_lang=en-US<br />a_lang=en-US<br />fontsize_q=40<br />fontsize_a=30<br />skipaudiomode=3
take on (phrasal verb)	to take the first steps in doing something.<br /><br /> Because of the doctor's busy schedule, she is not sure if she should take on another research project. <br />Related: initiate, commence, undertake
user–friendly (adjective)	referring to something that is easy to use, learn or operate.<br /><br /> User–friendly computer programs are the most popular in today's software marketplace. <br />Related: simple, uncomplicated
broaden (verb)	to increase a person's knowledge, experience or interests.<br /><br /> The transcontinental railway system, completed in 1869, broadened the possibility for economic growth in all parts of the country. <br />Related: enlarge, expand, widen
check out (phrasal verb)	to determine if something is correct or true; to examine carefully.<br /><br /> During a trip to Pery, archaeologist Johan Reinhard discovered a frozen female mummy while checking out what he thought was a mountain climber's backpack. <br />Related: examine, investigage, research
adjacent to (prep)	very close to something; near or next to.<br /><br /> Many home buyers prefer houses that are adjacentto park lands<br />Related: adjoining, nearby, neighboring
deny (verb)	to insist that something is not true; to not allow something to happen.<br /><br /> Opponents of the "greenhouse effect" theory deny that human activity could cause a major change in the Earth's climate. <br />Related: rebuff, refute, reject
dim (adjective)	not bright; lacking light; being weak.<br /><br /> The dim light of the setting sun gave a peaceful feeling to the evening. <br />Related: faint, soft, weak
easygoing (adjective)	not easily bothered; peaceful.<br /><br /> The engineer's easygoing personality makes him an ideal team leader. <br />Related: carefree, relaxed, laid–back
factor in (phrasal verb)	to consider or include information used to make conclusions.<br /><br /> The price of raw material and the costs of production and transportation are factored in to the store price of an item. <br />Related: add in, include, incorporate
gather (verb)	to collect or come together.<br /><br /> On August 28, 1963, more than 100,000 citizens gathered in Washington to demonstrate their support for civil rights. <br />Related: assemble, congregate, meet
life span (noun)	the amount of time that a living thing is expected to live.<br /><br /> The average life span of people born in the twenty–first century is more than double that of people who were born in the nineteenth century. <br />Related: lifetime, natural life
minuscule (adjective)	being of very small size.<br /><br /> Camels require only minuscule amounts of water, with many living up to six months in cooler seasons without taking a drink. <br />Related: diminutive, minute, tiny
radical (adjective)	fundamental; basic change that results in something very different from the original thing or idea.<br /><br /> In general, human beings dislike radical changes. <br />Related: complete, thorough, total
render (verb)	to cause something to change or develop in a certain way.<br /><br /> Pure ice is completely clear, but if air bubbles are present, they render it cloudy. <br />Related: cause to be, develop into, make
run into (phrasal verb)	to meet, sometimes unexpectedly.<br /><br /> Scientists have run into many challenges in their efforts to produce an alternative to the gas–powered automobile motor. <br />Related: come across, encounter, meet
sole (adjective)	the only one of its kind.<br /><br /> At his death in 1959, Walter Williams, who was 117 years old, was the sole survivor of the four million soldiers who fought in the US Civil War. <br />Related: exclusive, lone, single
worthwhile (adjective)	having value or being of benefit.<br /><br /> While preparing for the TOEFL, it is worthwhile to work on building a large English vocabulary. <br />Related: meaningful, useful, valuable
stem from (phrasal verb)	to have its origins in; to develop from a specific condition or situation.<br /><br /> Cancun, Mexico is a famous resort city whose popularity among tourists stems from its ideal climate and beautiful beaches. <br />Related: arise form, develop from, originate from
surpass (verb)	to exceed expectations; to become greater or better.<br /><br /> It is a goal of most teachers to develop students whose knowledge and skills will one day surpass their own abilities. <br />Related: better, exceed, go beyond
take up (phrasal verb)	to start a new activity or project.<br /><br /> Health experts often suggest taking up activities that reduce stress and improve physical condition. <br />Related: embark on, engage in, start
stamina (noun)	mental or physical strength spent over a long period of time.<br /><br /> Among the important goals of long–distance runners are those of developing both mental and physical stamina. <br />Related: endurance, resistance, staying power
take after (phrasal verb)	to look or behave like someone else.<br /><br /> The popularity of gorilla exhibits at zoos is due to the fact that their behavior so closely takes after that of human beings. <br />Related: be similar to, look like, resemble
outspoken (adjective)	expressing honest opinions directly despite the negative effects they may have on other people.<br /><br /> African–American journalist William Monroe Trotter was an outspoken supporter of civil rights in the early twentieth century. <br />Related: blunt, candid, forthright
procure (verb)	to obtain something; usually something hard to find.<br /><br /> A strong password, which cannot be procured by others, should be used to protect important computer files. <br />Related: acquire, attain, obtain
recognition (noun)	praise or appreciation of a person's work or achievements.<br /><br /> Vicent van Gogh's paintings did not receive the recognition that they deserved until well after his death. <br />Related: acknowledgment, credit, gratitude
nourish (verb)	to give the food or encouragement necessary to grow.<br /><br /> Governments tend to nourish a feeling of national identity, but people more often identify with their region than with their country. <br />Related: encourage, nurture, support
foster (verb)	to encourage the development of an idea or policy.<br /><br /> Respect for the law fosters peace and security in a society. <br />Related: advance, promote, further
inasmuch as (conj)	in a limited way, something is true.<br /><br /> Thomas Edison was persistent, inasmuch as he conducted more than one thousand experiments to create the electric lightbulb until he was successful. <br />Related: because of the fact that, insofar as, since
due to (expression)	as a result of.<br /><br /> New York City's success as a center of world commerce and finance is due to its perfect location on the east coast. <br />Related: a consequence of, because of, an account of
enhance (verb)	to increase in value or strength.<br /><br /> The young teacher's pleasant personality enhanced her ability to manage her classes. <br />Related: develop, enrich, improve
conspicuous (adjective)	easy to observe because it is different or unusual.<br /><br /> The conspicuous absence of rainfall caused farmers to worry about their crops. <br />Related: evident, obvious, noticeable
diminish (verb)	to make less important or smaller.<br /><br /> New methods of communication will probably diminish the need to use communication devices such as the telephone. <br />Related: decrease, lessen, reduce
bold (adjective)	showing courage or lack of fear.<br /><br /> The bold leadership style of the president changed the mood of the county's people. <br />Related: courageous, gallant, valiant
attach importance (expression)	to believe that something is important or deserves attention.<br /><br /> At first, the residents of Pompei did not attach much importance to the eruption of Mount Vesuvius. <br />Related: attribute, ascribe, confer
beneath (prep)	under.<br /><br /> Modern submarines can remain beneath the ocean's surface for months at a time. <br />Related: below, under, underneath
collaborate (verb)	to work together to achieve a certain goal or objective.<br /><br /> Since 1990, large numbers of scientists have collaborated in the recording of the human genome. <br />Related: join forces, pool resources, work together
aim (noun)	the act of setting a mission, goal or objective.<br /><br /> One aim of public health care organizations is to offer education programs to the public. <br />Related: endeavor, goal, intention
ascertain (verb)	to discover through an investigation; to find out something.<br /><br /> Before the Hublle space telescope was sent into space on April 24, 1990, scientists could not ascertain if black holes actually existed. <br />Related: determine, establish, verify
decay (noun)	to be destroyed by natural processes; to become less important.<br /><br /> It is a well–known fact that foods high in sugar can cause tooth decay. <br />Related: atrophy, decomposition, deterioration
devise (verb)	to make a plan designed to achieve a goal or serve a purpose.<br /><br /> Data from the Mesopotamia civilization show that people had already devised mathematical rules by the year 3100 B.C. <br />Related: develop, formulate, plan
exert (verb)	to make a strong effort to influence; to cause to happen.<br /><br /> Newspapers and magazines exert a lot of influence on a person's views of world events. <br />Related: apply, exercise, put forth
shift (noun)	changes in the way people think or do things.<br /><br /> Recently, there has been a shift away from hard–wired telephone systems to wireless cellular telephones. <br />Related: alteration, change, modification
outburst (noun)	a sudden and powerful action or expression of emotion.<br /><br /> Security removed the man whose outbursts of disapproval disturbed the meeting. <br />Related: eruption, explosion, outbreak
pinpoint (verb)	to find the precise location of something.<br /><br /> The newest Doppler radar systems can pinpoint the location of bad weather. <br />Related: identify, isolate, locate
provided that (expression)	if one event is to happen, then another must also happen.<br /><br /> Teachers may work in any state provided that they meet the license requirements set by that state. <br />Related: only if, on condition that, providing
nevertheless (adv)	despite what has been mentioned or what has occurred.<br /><br /> Nursing schools have waiting lists. Nevertheless, a shortage of health care workers is predicted through the year 2020. <br />Related: all the same, nonetheless, on the other hand
fond of (verb)	to like very much.<br /><br /> Americans are especially fond of three sports: baseball, football and basketball. <br />Related: attached to, like, partial to
harvest (verb)	to collect or gather, especially a crop or seafood.<br /><br /> The blue crap is harvested from the Chesapeake Bay from early spring to late fall. <br />Related: collect, gather, reap
in the event (expression)	what someone should do in case a specific unexpected event occurs.<br /><br /> In the event of rain, the game will be postponed. <br />Related: in case
uphold (verb)	to defend or support law, principle or policy.<br /><br /> The Supreme Court either upholds or rejects lower court decisions. <br />Related: defend, support, sustain
whereas (adv)	although something is not true of one thing, it is true of another.<br /><br /> Most liquids contract when frozen, whereas water expands. <br />Related: but, on the other hand, while
stable (adjective)	not likely to change; steady.<br /><br /> The stable economic growth of the 1990s created thousands of new jobs across the country. <br />Related: constant, firm, steady
succinct (adjective)	clearly explained with a small number of words.<br /><br /> The professor gave a succinct explanation of the Aztec civilization's influence on Mexican Spanish vocabulary<br />Related: brief, concise, to the point
symbolic (adjective)	representing something else by an association.<br /><br /> A county's national flag is symbolic of its culture and people. <br />Related: illustrative, representative
thanks to (expression)	because of.<br /><br /> Thanks to increased spending in drug research, many new medicines and treatments have been developed. <br />Related: as a result of, due to, on account of
unravel (verb)	to separate the parts from a whole to make something clear.<br /><br /> Scientists have just begun to unravel the mysteries of the human body. <br />Related: resolve, solve, sort out
vanish (verb)	to disappear.<br /><br /> Experts cannot agree on why  some ships vanish while passing through the Bermuda Triangle. <br />Related: fade away, perish
source (noun)	the place from which something comes.<br /><br /> Close, positive family relationships are an important source of happiness in life. <br />Related: origin, fount, root
struggle (noun)	an arduous fight or effort.<br /><br /> The Boston Tea Party was a key event in the USA' struggle for independence from England. <br />Related: battle, effort, labor
proficient (adjective)	thoroughly skilled in doing an activity.<br /><br /> Language experts believe that learning a third language is easier after becoming proficient in a second language. <br />Related: capable, competent, skillful
scattered (adjective)	spread out over a large area; not found in all places.<br /><br /> Areas of scattered showers usually arrive long before a hurricane reaches land. <br />Related: dotted, spread out
haphazard (adjective)	done with little or no thought or attention.<br /><br /> Some cities grow haphazardly because of improper planning. <br />Related: arbitrarily, carelessly, randomly
long for (expression)	to want something very much.<br /><br /> During the economic depression of the 1930s, many people longed for a return to the successful years of the 1920s. <br />Related: crave, desire, yearn for
moist (adjective)	a little wet.<br /><br /> The fern is a plant that typically grows best under shady, moist conditions. <br />Related: damp, humid, wet
emerge (verb)	to come from somewhere or someone.<br /><br /> The sport of soccer emerged from England during the 1830s. <br />Related: appear, become known, materialize
exceed (verb)	to be greater than an expected number or amount.<br /><br /> The number of professors at the meeting exceeded everyone's expectations. <br />Related: go above, go beyond, surpass
firsthand (adjective)	directly from the original source.<br /><br /> Although knowledge of facts and procedures is very important, there is no substitute for firsthand experience. <br />Related: direct, personal
advocate (verb)	to support or defend a certain way of doing something.<br /><br /> Automobile safety groups have advocated seat belt use so successfully that now almost every state has a seat belt law. <br />Related: promote, support, to back
barely (adv)	almost not existing or happening.<br /><br /> Most people who went looking for gold in California during the 1840s found barely enough to meet their living expenses. <br />Related: hardly, just, scarcely
conceal (verb)	to prevent from being known or seen.<br /><br /> The insects known as Walking Sticks use their similarity to tree branches to conceal themselves from predators. <br />Related: cover–up, hide, mask
be prone to (expression)	having a natural tendency or likelihood to do something.<br /><br /> Many people are prone to misunderstand the difficulty of learning a second language. <br />Related: have a tendency to, be inclined to, likely to
cohesive (adjective)	closely joined; being together in harmony.<br /><br /> Team sports require cohesive groups of people who are willing to work together to reach a common goal. <br />Related: consistent, unified, united
confidence (noun)	the act of having faith in a person's ability to do something.<br /><br /> Athletes must have confidence in their ability to reach their training goals. <br />Related: belief, faith, trust
against one's will (expression)	to be forced to do something that you do not want to do.<br /><br />  The early colonists paid taxes to England against their will. <br />Related: forced, involuntarily, unwillingly
ascent (noun)	the act of going up or rising.<br /><br /> Davy Crockett's popularity made a fast ascent due to his successes as a war hero and politician for the common citizen. <br />Related: ascension, climb, rise
encounter (verb)	to meet something or someone unexpectedly.<br /><br /> When Christopher Columbus encountered native Americans, he  believed that he was in India and that the natives were Indian. <br />Related: come across, find, meet
exclude (verb)	to keep out or leave out; to omit.<br /><br /> All bacteria must be excluded from the operating rooms of hospitals to reduce the possibility of infection. <br />Related: eliminate, keep out, shut out
flourish (verb)	to grow in a healthy way; to be active and vigorous.<br /><br /> Hong Kong is an international center of business and finance where free trade flourishes. <br />Related: burgeon, prosper, thrive
device (noun)	a machine or tool.<br /><br /> Guglielmo Marconi invented a device known as a spark transmitter, which led to the invention of modern radio communication<br />Related: apparatus, implement, instrument
mixed bag (expression)	a variety.<br /><br /> Encyclopedias provide a mixed bag of information on a variety of subjects. <br />Related: assortment, combination, variety
on the spot (expression)	being at the right place at the exact moment of need.<br /><br /> When an emergency situation arises on US highways, help usually arrives on the spot within a short time. <br />Related: at once, immediately, instantly
overlook (verb)	to notice or see, but to pretend not to see.<br /><br /> Many managers overlook the mistakes of younger, less experienced employees. <br />Related: ignore, excuse, forgive
harsh (adjective)	causing excessive pain or suffering; being extremely difficult to deal with.<br /><br /> Researches have studied the effects of harsh climatic conditions and high altitudes on the human body. <br />Related: difficult, severe
interference (noun)	an act of involvement, usually unwanted.<br /><br /> Solar activity sometimes causes interference in radio communications. <br />Related: obstruction, obstacle
soaring (adjective)	rising very quickly.<br /><br /> During periods of rising costs, salaries seldom keep up with soaring prices for life's necessities. <br />Related: elevated, high, lofty
prominent (adjective)	very visible or noticeable; standing out from others.<br /><br /> The North Star, Polaris, is one of the most prominent stars in the northern sky. <br />Related: eye–catching, famous, well–known
realm (noun)	a world or area of activity.<br /><br /> Ants can carry up to fifty times their weight, making them the superstar weightlifters of their realm. <br />Related: dominion, empire, world
subscribe to (expression)	to agree with a principle or idea.<br /><br /> The writers of the Declaration of Independence subscribed to the idea that all people are created equal. <br />Related: accept, agree with, join
swift (adjective)	fast.<br /><br /> Jet airplanes provide a means of swift, efficient travel over long distances. <br />Related: fast, rapid, quick
threatening (adjective)	having the characteristic of possibly causing destruction or damage.<br /><br /> Threatening clouds and lightning are factors that require the postponement of field sporting events. <br />Related: foreboding, frightening, ominous
think little of (expression)	to give almost no credit or respect to an idea or person.<br /><br /> Most people living in the 1800s thought little of the idea that humans might someday create a flying machine. <br />Related: fail to appreciate, undervalue, underrate
turmoil (noun)	a situation where there is much trouble, conflict, or worry.<br /><br /> The end of slavery in 1860s brought about much turmoil in the economy of the southern states. <br />Related: chaos, confusion, disorder
vast (adjective)	extremely large.<br /><br /> Mount Saint Helens erupted on May 18, 1980, creating a vast cloud of ashes that covered a large part of the USA. <br />Related: enormous, gigantic, huge
subject to (expression)	to be most probably affected by something else.<br /><br /> Farming is always subject to the influence of weather conditions during the growing season. <br />Related: conditional on, dependent on
float (verb)	to discuss an idea among a group of people to get their reactions to the idea.<br /><br /> Lawmakers floated the idea of the tax increase among their colleagues to get their opinions on the matter. <br />Related: propose, suggest, promote
hardship (noun)	something that makes a person's life difficult, such as health problem or lack of money.<br /><br /> The United States' social security system is designed to reduce the financial hardships of citizens during their retirement years. <br />Related: adversity, difficulty, suffering
minute (adjective)	extremely small or unimportant.<br /><br /> A minute amount of poison from the Fierce Snake of Australia is enough to kill more than fifty adult humans. <br />Related: insignificant, minuscule, tiny
distinguish (verb)	to notice the difference between two similar things or people.<br /><br /> It is difficult for some people to distinguish the colors red, blue and green. <br />Related: discern, identify, recognize
empower (verb)	to give someone the authority or the right to do something.<br /><br /> Modern computers have empowered people to organize their lives and discover new ways to solve problems. <br />Related: allow, authorize, sanction
excel (verb)	to do something very well; to do something much better than most people.<br /><br /> In addition to the Nobel Peace Prize, Nobel Prizes are awarded to professionals who excel in economics, literature, chemistry, physics and medicine.
courageous (adjective)	showing no fear; not afraid.<br /><br />Scientist Charles Darwin is known for the courageous theory on the evolution of human beings. <br />Related: brave, bold, daring
crude (adjective)	not refined, advanced or very well developed.<br /><br /> The first cotton gin, which was a crude machine used to separate cotton from its seeds, was invented by Ely Whitney in 1793. <br />Related: basic, rough, simple
barter (verb)	to exchange goods or services for other goods or services without using money.<br /><br /> Before the invention of paper money by the Chinese in the eighth century, people bartered to get what they needed. <br />Related: bargain, swap, trade
afford (verb)	to be able to give or provide.<br /><br /> Modern day vaccines afford protection from diseases that just thirty years ago caused many people to suffer<br />Related: allow, give, offer
arrange (verb)	to put a group of people or things in a special order or position.<br /><br /> The Dewey Decimal System arranges library books by dividing all knowledge into ten areas, each with its own specific identifying number. <br />Related: coordinate, organize, set up
strain (noun)	a difficultly that is caused by too much stress or excessive demands.<br /><br /> Many airports are not prepared to handle the strain of increased passenger traffic. <br />Related: burden, pressure, stress
surplus (noun)	having more of something than is required or needed.<br /><br /> The school system's budget surplus was used to increase teacher salaries. <br />Related: excess, extra, spare
take advantage of (expression)	a situation or condition that benefits you.<br /><br /> It is necessary for a country to have an educated work force in order to take advantage of modern technology. <br />Related: exploit, profit from, make the most of
undertake (verb)	to begin a project or a job for which you are responsible.<br /><br /> The automobile industry has undertaken studies to find out if hydrogen powered cars can be built and sold at a profit. <br />Related: assume, commence, start
yield (verb)	to produce something.<br /><br /> A typical beehive can yield up to fifty–five pounds of honey every year. <br />Related: bear, furnish, generate
prized for (expression)	used to refer to the characteristics of something that make it important and valuable.<br /><br /> A diamond is prized for its brilliance, clarity and color. <br />Related: recognized, valued, well–known
rampant (adjective)	out of control; affecting a large area.<br /><br /> Rampant price increases cause economic hardships. <br />Related: uncontrolled, unchecked, widespread
rescue (verb)	to save from danger.<br /><br /> The rescue of the crew of the Apollo 13 moon mission was one of the most dramatic in the history of the space program. <br />Related: liberate, set free
saturate with (verb)	to make something wet; to be completely full of something.<br /><br /> Dew occurs when warm air, which is fully saturated with water, cools, leaving drops of water on grassy areas. <br />Related: douse, drench, soak
somewhat (adv)	a little; just slightly.<br /><br /> The rules of many card games differ somewhat from country to country. <br />Related: a bit, to some extent
halt (verb)	to stop.<br /><br /> Jonas Salk developed the first vaccine against poliomyelitis, which halted the spread of the serious disease in 1950s. <br />Related: discontinue, finish, freeze
inhabitant (noun)	a person who lives in a specific area.<br /><br /> Among the most important early inhabitants of western Alaska were the Eskimo. <br />Related: dweller, occupant, resident
linger (verb)	to remain in a place longer than usual.<br /><br /> Even in the summer, snow frequently lingers on the tops of Hawaii's highest mountains. <br />Related: hang back, remain, stay behind
misgiving about (noun)	a feeling of uncertainty or fear that something will not happen as planned or expected.<br /><br /> As Vice President under Ronald Reagan, George Bush did not discuss his misgivings about the President's economic plan. <br />Related: doubt, hesitation, worry
cosmetic (adjective)	something done very quickly, with little attention to quality or detail.<br /><br /> Many home owners make cosmetic repairs to their homes before selling them. <br />Related: hasty, rapid, superficial
feasible (adjective)	likely to happen; possible and probable.<br /><br /> The use of rubber wheels was not feasible until 1839, when Charles Goodyear invented a process that made rubber stronger. <br />Related: realistic, reasonable, viable
boost (noun)	something that causes growth or improvement.<br /><br /> The landing of a manned spacecraft on the moon in 1969 gave a boost to the United States space program during the 1970s. <br />Related: enhance, improve, increase
burst (noun)	an unexpected short period of intense or increased activity.<br /><br /> Dolphins can swim at speeds of up to thirty miles per hour, with occasional bursts of up to forty miles per hour. <br />Related: eruption, spurt, surge
chore (noun)	an activity that is performed regularly especially around the house.<br /><br /> Before Florence Nightingale improved the image of nursing, the jobs of nurses were considered simple chores for women with little or no education. <br />Related: duty, job, task
blend (noun)	a mixture.<br /><br /> The population of the USA is a blend of people, language and cultures from all over the world. <br />Related: assortment, combination, mixture
cease (verb)	to stop.<br /><br /> Many scientists agree that the destruction of tropical rain forests must cease in order to protect the earth's most important producers of oxygen. <br />Related: conclude, end, finish
come across (expression)	to find, usually unintentionally.<br /><br /> While exploring the Grand Canyon National Park, tourists come across one astounding view after another. <br />Related: come upon, encounter, fall upon
acclaim (noun)	something that deserves praise for its high quality or standing.<br /><br /> Albert Einstein received international acclaim after his theory of relativity was accepted by the Royal Society of London in 1919. <br />Related: applause, approval, commendation
astounding (adjective)	very surprising; unbelievable.<br /><br /> The amount of water flowing over Niagara Falls is an astounding 600,000 gallons of water per second. <br />Related: amazing, astonishing, surprising
deliberately (adv)	done on purpose; done with a prior plan.<br /><br /> By using genetic engineering, genes can be deliberately changed to produce new types of fruits and vegetables. <br />Related: by design, intentionally, purposely
diligent (adjective)	hard–working; paying attention to details.<br /><br /> Bertrand Russell was a diligent mathematician and philosopher. <br />Related: conscientious, meticulous, thorough
drawback (noun)	a disadvantage.<br /><br /> One drawback of electric–powered cars is their short battery life. <br />Related: downside, problem, shortcoming
engage in (expression)	to participate in an activity.<br /><br /> To be well prepared for college, a student should not earn good grades but also engage in after–school activities. <br />Related: take part in, undertake
map (verb)	to produce a plan, usually involving many steps.<br /><br /> In order for students to be successful in their studies, they should map out strategies that will lead them to academic success. <br />Related: chart, plot
noticeably (adjective)	something that is easily seen or understood.<br /><br /> After summer thunderstorms, the air temperature is noticeably cooler. <br />Related: clearly, evidently, visibly
forefront of (noun)	something in the first or highest position.<br /><br /> Japanese auto makers are in the forefront of developing cars that operate on both gas and electricity. <br />Related: front, head, vanguard
hence (adv)	as a result; therefore.<br /><br /> The flowers and leaves of a plant found in Eurasia produce a spray that can be burned; hence the names "gas plant" and "burning bush" were given to the plant/. <br />Related: consequently, thus
reveal (verb)	to show; to make something known to others.<br /><br /> As fall approaches and trees stop producing chlorophyll, their leaves reveal their true colors: yellow, orange, purple and gold. <br />Related: disclose, expose, make public
set off (verb)	to cause a series of actions to start.<br /><br /> The government's tax cut set off strong consumer spending, hence improving the nation's economy. <br />Related: begin, cause, trigger
shortage of (noun)	something that is not found in sufficient quantities; a lack.<br /><br /> In many areas of the world there is a shortage of clean drinking water. <br />Related: deficiency, dearth, scarcity
outcome of (noun)	the result of an action or activity.<br /><br /> One of the outcomes of the United States Civil War was the end to slavery. <br />Related: consequence, effect, end result
recall (verb)	to remember; to bear in mind.<br /><br /> People who suffer from amnesia cannot recall events of the past. <br />Related: call to mind, recollect, remind
tangible (adjective)	something that is real; can be sensed.<br /><br /> The tangible results of a daily exercise program are increased energy, more flexibility and improved strength. <br />Related: actual, concrete, substantial
urge (verb)	to strongly encourage someone to follow a suggestion or advice.<br /><br /> The professor urged his students not to wait until the last minute to complete their laboratory work. <br />Related: compel, drive, push
wholesome (adjective)	something that is healthy or good for someone.<br /><br /> A wholesome lifestyle improves a person's quality of life in his or her latter years. <br />Related: clean, decent, moral
ample (adjective)	having more than enough of something; sufficient.<br /><br /> Because farming families of the early 1900s were large, their houses had to have ample living space for all family members. <br />Related: abundant, plentiful, substantial
apply in (verb)	something that is important to or appropriate for a situation.<br /><br /> English rules of grammar cannot be applied in all cases due to the fact that there are many exceptions to the rules. <br />Related: be relevant, pertain to, relate to
discreetly (adv)	something done in a quiet, private way with great skill.<br /><br /> When a manager must tell an employee that his job has been eliminated, the situation must be handled discreetly. <br />Related: cautiously,prudently, tactfully
eager (verb)	to be excited about doing something.<br /><br /> Harriet Tubman, founder of Underground Railroad, was eager to help slaves escape from their owners and lead them to freedom<br />Related: enthusiastic, ready, willing
landmark (adjective)	an important change, discovery, or event.<br /><br /> The signing of the United States Declaration of Independence was a landmark historical event. <br />Related: breakthrough, innovative, milestone
grasp (verb)	to come to an understanding.<br /><br /> It is very difficult to grasp the enormous size of the galaxy. <br />Related: comprehend, follow
hinder (verb)	to block or interfere with a process.<br /><br /> The unplanned growth of cities often hinders the development of public roads and transportation systems. <br />Related: hamper, interfere, obstruct
put up with (expression)	to tolerate; to accept a bad situation without complaining.<br /><br /> Immigrants must often put up with difficult adjustments to life in their new land. <br />Related: bear, endure, suffer
ominous (adjective)	being of the feeling that something bad is going to happen.<br /><br /> One of the ominous signs that a forest is under attack by an insect is the appearance of large groups of dead trees. <br />Related: foreboding, menacing, threatening
turn into (phrasal verb)	to become; to turn out to be.<br /><br /> After a butterfly pupa breaks out of its cocoon, it turns into a beautiful butterfly. <br />Related: convert into, develop into, grow to be
withstand (verb)	to successfully endure a condition; to accept.<br /><br /> Modern jet engines, which can withstand long periods of operation, make trans–Pacific air travel possible. <br />Related: survive, tolerate
stature (noun)	a certain high standing among other people or things.<br /><br /> John Steinbeck earned stature as a great American author for his ability to describe the real lives of ordinary people of the early 1900s. <br />Related: prominence, rank, status
take to (phrasal verb)	to like something or someone, usually right away.<br /><br /> Although life was difficult for the early settlers of the West, they quickly took to their homeland and its lifestyle. <br />Related: become fond of, enjoy, take pleasure in
